,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
190,-1.75,1.75,-1.19,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
191,-1.75,2.44,-0.81,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
192,-1.75,2.44,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
193,-1.75,2.44,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
194,-1.75,2.44,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
195,-2.19,2.81,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
196,-2.19,2.81,-0.81,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
197,-2.19,2.81,-0.81,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
198,-2.19,2.81,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
199,-0.94,3.44,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
200,-0.94,3.44,-1.25,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
201,-0.94,3.44,-1.25,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
202,-0.94,3.44,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
203,-1.37,2.12,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
204,-1.37,2.12,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
205,-1.37,2.12,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
206,-1.37,2.12,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
207,-2.62,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
208,-2.62,3.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
209,-2.62,3.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
210,-2.62,3.50,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
211,-2.19,2.44,-1.94,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
212,-2.19,2.44,-1.94,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
213,-2.19,2.44,-1.94,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
214,-2.19,2.44,-1.94,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
215,-2.56,0.75,-1.62,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
216,-2.56,0.75,-1.62,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
217,-2.56,0.75,-1.62,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
218,-2.56,0.75,-1.62,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
219,-1.37,2.44,-0.81,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
220,-1.37,2.44,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
221,-1.37,2.44,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
222,-1.37,2.44,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
223,-2.12,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
224,-2.12,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
225,-2.12,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
226,-2.12,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
227,-1.31,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
228,-1.31,1.06,-1.25,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
229,-1.31,1.06,-1.25,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
230,-1.31,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
231,-2.56,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
232,-2.56,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
233,-2.56,1.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
