,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
62,0.5,1.11,-3.55,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573696.0,7956.0,W,0.081497117,0.28724797,-2.847136146,-2.817804641,1.078055535,1.196329127,0.0,0.0,0.0,-0.22341463414634147,0.16536585365853657,0.07097560975609757
63,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.76,1.14,0.89,-0.71,0.01,0.67,0.24,573737.0,7997.0,W,0.32313296,-0.216768131,2.981691936,-3.089137279,0.689196607,0.831587216,0.0,0.0,0.0,0.012195121951219513,0.01585365853658537,0.014878048780487804
64,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.26,1.79,1.5,-0.71,0.01,0.67,0.24,573778.0,8038.0,W,0.606323951,-0.741466513,2.520855915,2.959718739,0.238423854,0.465245267,0.0,0.0,0.0,0.0028571428571428385,-0.0009523809523809532,0.07285714285714284
65,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.14,1.75,4.56,-0.71,0.01,0.67,0.24,573820.0,8080.0,W,0.587941244,-1.273417195,2.057015798,2.773525014,-0.288190731,0.094292159,0.0,0.0,0.0,0.03717948717948721,0.02051282051282051,0.005897435897435908
66,0.5,1.11,-3.55,99.5,-125.19,19.13,-12.69,2.55,4.79,-0.71,0.01,0.67,0.24,573859.0,8119.0,W,0.382694931,-1.789555548,1.601939145,2.65081736,-0.862563684,-0.27257853,0.0,0.0,0.0,0.0355813953488372,0.018837209302325582,-0.023023255813953494
67,0.5,1.11,-3.55,99.5,-125.19,19.13,-11.16,3.36,3.8,-0.71,0.01,0.67,0.24,573902.0,8162.0,W,0.097082612,-2.279471503,1.16248785,2.600245305,-1.421867162,-0.622679496,0.016666666666666666,-0.055,0.11452380952380951,0.0,0.0,0.0
68,1.2,-1.2,1.26,99.5,-125.19,19.13,-11.16,3.36,3.8,-0.71,0.01,0.67,0.24,573944.0,8204.0,W,-0.2236307,-2.74941451,0.734591624,2.600427472,-1.927004474,-0.948653524,0.0,0.0,0.0,-0.0067499999999999895,-0.11025,0.06975
69,1.2,-1.2,1.26,99.5,-125.19,19.13,-11.43,-1.05,6.59,-0.71,0.01,0.67,0.24,573984.0,8244.0,W,-0.557616517,3.062415409,0.295457815,2.601421198,-2.368840473,-1.239120189,0.0,0.0,0.0,-0.03357142857142857,-0.09833333333333333,-0.17142857142857143
70,1.2,-1.2,1.26,99.5,-125.19,19.13,-12.84,-5.18,-0.61,-0.71,0.01,0.67,0.24,574026.0,8286.0,W,-0.895839676,2.578481073,-0.176547849,2.57100965,-2.752202526,-1.480779607,0.0,0.0,0.0,0.04292682926829268,0.05780487804878048,0.0673170731707317
71,1.2,-1.2,1.26,99.5,-125.19,19.13,-11.08,-2.81,2.15,-0.71,0.01,0.67,0.24,574067.0,8327.0,W,-1.232713181,2.092943937,-0.683919791,2.525329705,-3.084913127,-1.658608282,-0.016341463414634144,0.023902439024390244,-0.024146341463414635,0.0,0.0,0.0
