,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,DirecFTion,SensorFTime,FTime,Label
161,-1.1,0.45,-1.42,44.5,-132.63,7.69,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572445,6705,FW
162,-1.1,0.45,-1.42,44.5,-132.63,7.69,-9.63,-1.66,2.92,-0.71,0.01,0.67,0.24,572486,6746,FW
163,-1.1,0.45,-1.42,44.5,-132.63,7.69,-10.05,-1.66,2.76,-0.71,0.01,0.67,0.24,572527,6787,FW
164,-1.1,0.45,-1.42,44.5,-132.63,7.69,-10.27,0.52,3.8,-0.71,0.01,0.67,0.24,572568,6828,FW
165,-1.1,0.45,-1.42,106.38,-105.44,22,-10.27,0.52,3.8,-0.71,0.01,0.67,0.24,572608,6868,FW
166,-1.1,0.45,-1.42,106.38,-105.44,22,-11.16,4.32,6.25,-0.71,0.01,0.67,0.24,572652,6912,FW
167,0.54,-0.34,1.58,106.38,-105.44,22,-11.16,4.32,6.25,-0.71,0.01,0.67,0.24,572694,6954,FW
168,0.54,-0.34,1.58,106.38,-105.44,22,-12.92,-3.15,0.2,-0.71,0.01,0.67,0.24,572736,6996,FW
169,0.54,-0.34,1.58,106.38,-105.44,22,-9.97,-3.23,0.89,-0.71,0.01,0.67,0.24,572778,7038,FW
170,0.54,-0.34,1.58,106.38,-105.44,22,-9.13,-3.5,0.31,-0.71,0.01,0.67,0.24,572820,7080,FW
171,0.54,-0.34,1.58,96.31,-120.81,34.63,-9.13,-3.5,0.31,-0.71,0.01,0.67,0.24,572861,7121,FW
172,0.54,-0.34,1.58,96.31,-120.81,34.63,-9.55,-3.15,0.35,-0.71,0.01,0.67,0.24,572904,7164,FW
173,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.55,-3.15,0.35,-0.71,0.01,0.67,0.24,572945,7205,FW
174,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.32,-3.11,0.27,-0.71,0.01,0.67,0.24,572986,7246,FW
175,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.32,-3.11,0.35,-0.71,0.01,0.67,0.24,573027,7287,FW
176,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.24,-3.04,0.43,-0.71,0.01,0.67,0.24,573068,7328,FW
177,-0.01,0.04,0.12,102.44,-121.56,23.25,-9.24,-3.04,0.43,-0.71,0.01,0.67,0.24,573107,7367,FW
178,-0.01,0.04,0.12,102.44,-121.56,23.25,-9.36,-3,0.31,-0.71,0.01,0.67,0.24,573150,7410,FW
179,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.36,-3,0.31,-0.71,0.01,0.67,0.24,573192,7452,FW
